Country,Year,Population (Million),Continent,GDP (Millions $),GDP (Billions $),GDP per capita ($),Public spending (%GDP),Area (km2),Tax rate (% GDP),Public debt (% GDP),IDH,life_expectancy,political_system,immigration_rate ,education_spending,defense_spending,unemployment_rate
AUS,2019,25.365745,Oceania,1346385.112,1346.385112,53078.8712099723,43.7055198903214,7682300,,75.87409,0.939,,Republic,,,,
AUT,2019,8.877637,Europe,520729.751,520.729751,58656.3463903739,48.4224056568531,82580,42.444,89.13332,0.908,,Republic,,,,
BEL,2019,11.462023,Europe,630953.518,630.953518,55047.3086644478,51.8397894264418,30280,42.916,119.7289,0.931,,Monarchy,,,,
CAN,2019,37.593384,America,1904502.917,1904.502917,50660.5874320865,,8965590,33.455,106.6808,0.929,,Republic,,,,
CZE,2019,10.669324,Europe,462266.205,462.266205,43326.6629638391,41.0095904425779,77270,34.927,37.46101,0.9,,Republic,,,,
DNK,2019,5.814461,Europe,348263.937,348.263937,59896.1687076412,49.605100660943,42430,46.337,48.12441,0.94,,Monarchy,,,,
FIN,2019,5.521605,Europe,284480.553,284.480553,51521.351672204,53.2975005935101,304590,42.189,69.84094,0.938,,Republic,,,,
FRA,2019,67.215667,Europe,3336886.582,3336.886582,49644.4762201051,55.2974501925022,547567,45.401,123.088,0.901,,Republic,,,,
DEU,2019,83.092958,Europe,4676884.224,4676.884224,56284.9648943777,44.8584219845394,348950,38.812,67.50011,0.947,,Republic,,,,
GRC,2019,10.721584,Europe,330671.919,330.671919,30841.703893753,47.4923902732697,128900,38.707,200.8777,0.888,,Republic,,,,
HUN,2019,9.771142,Europe,331843.246,331.843246,33961.5621183276,45.5545005629004,89620,35.771,84.07797,0.854,,Republic,,,,
ISL,2019,0.360558,Europe,21681.631,21.681631,60133.545781816,43.3960934080977,100250,36.075,,0.949,,Republic,,,,
IRL,2019,4.921496,Europe,441873.65,441.87365,89784.417177216,24.4820758103397,68890,22.656,68.83617,0.955,,Republic,,,,
ITA,2019,59.729077,Europe,2684877.498,2684.877498,44950.9289755139,48.5020375947896,294110,42.446,154.1879,0.892,,Republic,,,,
JPN,2019,126.3,Asia,5416302.286,5416.302286,42884.4203167063,38.6615104754065,364500,,233.3859,0.919,,Republic,,,,
KOR,2019,51.71,Asia,2215707.913,2215.707913,42848.7316379811,,96460,27.377,52.6506,0.916,,Republic,,,,
LUX,2019,0.620003,Europe,74037.749,74.037749,119415.146378324,42.8631009939595,2430,39.222,30.29885,0.916,,Monarchy,,,,
NLD,2019,17.344876,Europe,1035058.851,1035.058851,59675.1946223196,41.8697382095922,33760,39.333,62.30612,0.944,,Monarchy,,,,
NZL,2019,4.9792,Oceania,223650.279,223.650279,44916.9101462082,,263310,32.312,55.33,0.931,,Republic,,,,
NOR,2019,5.347893,Europe,365502.326,365.502326,68345.1082510439,51.4695859983276,365244,39.928,46.73798,0.957,,Monarchy,,,,
POL,2019,38.386476,Europe,1299683.796,1299.683796,33857.8565013366,41.7283890320901,306290,35.385,63.31544,0.88,,Repubic,,,,
PRT,2019,10.286263,Europe,380027.764,380.027764,36945.1727998788,42.4417731912481,91500,34.845,135.6317,0.864,,Republic,,,,
SVK,2019,5.454147,Europe,177850.641,177.850641,32608.3328887175,42.6605732413351,48100,34.736,63.03254,0.86,,Republic,,,,
ESP,2019,47.105358,Europe,1987720.589,1987.720589,42197.3353646946,42.064570567554,499000,34.649,117.7095,0.904,,Monarchy,,,,
SWE,2019,10.278888,Europe,568811.735,568.811735,55337.8668003776,49.0564931730493,410340,42.909,55.88184,0.945,,Monarchy,,,,
CHE,2019,8.57528,Europe,627228.422,627.228422,73143.7832933735,32.7032134173148,39524,28.529,40.98116,0.955,,Republic,,,,
TUR,2019,82.579448,Middle East,2277897.893,2277.897893,27584.3196844813,,769630,23.079,35.18266,0.82,,Republic,,,,
GBR,2019,66.796807,Europe,3297286.361,3297.286361,49362.9337851434,40.3271784516622,241930,32.983,119.1483,0.932,,Monarchy,,,,
USA,2019,328.329953,America,21372582,21372.582,65094.8285549811,38.2510943226233,9161920,24.466,135.8913,0.926,,Republic,,,,
CHL,2019,19.107216,America,492274.022,492.274022,25763.7754239027,26.4118378546042,743532,20.657,37.77597,0.851,,Republic,,,,
CHN,2019,1433.783692,Asia,23547025.985,23547.025985,16422.9974970311,,9424700,,57.05,0.761,,Republic,,,,
COL,2019,50.374478,America,786356.837,786.356837,15610.2230379439,31.5618895477956,1109500,19.677,82.77155,0.767,,Republic,,,,
EST,2019,1.326855,Europe,50812.906,50.812906,38295.7489703095,39.4655464899302,42390,33.073,13.6058,0.892,,Republic,,,,
IDN,2019,266.9119,Asia,3331807.554,3331.807554,12482.7988336226,,1811570,,30.56,0.718,,Republic,,,,
ISR,2019,9.054,Middle East,382952.255,382.952255,42296.4717252043,39.6003288316135,21640,30.474,73.15871,0.919,,Republic,,,,
RUS,2019,146.764661,Europe,4283892.18,4283.89218,29188.8534393167,,16381340,,21.67,0.824,,Republic,,,,
SVN,2019,2.08931,Europe,86035.958,86.035958,41179.1251657246,43.2937122431212,20140,37.651,81.34025,0.917,,Republic,,,,
ZAF,2019,58.726826,Africa,761823.649,761.823649,12972.3279953866,,1213090,,62.15,0.709,,Republic,,,,
OECD,2019,1363.37281714722,,63328406.205,63328.406205,46449.8084518885,,,,109.21,,,,,,,
LVA,2019,1.913826,Europe,61247.544,61.247544,32002.6710892213,38.4489787921727,62196,31.201,47.86506,0.866,,Republic,,,,
