"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.39156,
"AUS","GGDEBT","TOT","PC_GDP","A","2017",65.60463,
"AUS","GGDEBT","TOT","PC_GDP","A","2018",65.89544,
"AUS","GGDEBT","TOT","PC_GDP","A","2019",75.87409,
"AUS","GGDEBT","TOT","PC_GDP","A","2020",96.87581,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",102.5335,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",96.27682,
"AUT","GGDEBT","TOT","PC_GDP","A","2018",90.80019,
"AUT","GGDEBT","TOT","PC_GDP","A","2019",89.13332,
"AUT","GGDEBT","TOT","PC_GDP","A","2020",107.3411,
"BEL","GGDEBT","TOT","PC_GDP","A","2016",127.6686,
"BEL","GGDEBT","TOT","PC_GDP","A","2017",120.8399,
"BEL","GGDEBT","TOT","PC_GDP","A","2018",117.8062,
"BEL","GGDEBT","TOT","PC_GDP","A","2019",119.7289,
"BEL","GGDEBT","TOT","PC_GDP","A","2020",140.6437,
"CAN","GGDEBT","TOT","PC_GDP","A","2016",114.1487,
"CAN","GGDEBT","TOT","PC_GDP","A","2017",108.5559,
"CAN","GGDEBT","TOT","PC_GDP","A","2018",107.3827,
"CAN","GGDEBT","TOT","PC_GDP","A","2019",106.6808,
"CAN","GGDEBT","TOT","PC_GDP","A","2020",141.5822,
"CZE","GGDEBT","TOT","PC_GDP","A","2016",47.43294,
"CZE","GGDEBT","TOT","PC_GDP","A","2017",43.32781,
"CZE","GGDEBT","TOT","PC_GDP","A","2018",39.73836,
"CZE","GGDEBT","TOT","PC_GDP","A","2019",37.46101,
"CZE","GGDEBT","TOT","PC_GDP","A","2020",46.64058,
"DNK","GGDEBT","TOT","PC_GDP","A","2016",51.5063,
"DNK","GGDEBT","TOT","PC_GDP","A","2017",48.98525,
"DNK","GGDEBT","TOT","PC_GDP","A","2018",47.18268,
"DNK","GGDEBT","TOT","PC_GDP","A","2019",48.12441,
"DNK","GGDEBT","TOT","PC_GDP","A","2020",58.1479,
"FIN","GGDEBT","TOT","PC_GDP","A","2016",75.60892,
"FIN","GGDEBT","TOT","PC_GDP","A","2017",73.04077,
"FIN","GGDEBT","TOT","PC_GDP","A","2018",69.94621,
"FIN","GGDEBT","TOT","PC_GDP","A","2019",69.84094,
"FIN","GGDEBT","TOT","PC_GDP","A","2020",82.06623,
"FRA","GGDEBT","TOT","PC_GDP","A","2016",123.6707,
"FRA","GGDEBT","TOT","PC_GDP","A","2017",122.9442,
"FRA","GGDEBT","TOT","PC_GDP","A","2018",120.7452,
"FRA","GGDEBT","TOT","PC_GDP","A","2019",123.088,
"FRA","GGDEBT","TOT","PC_GDP","A","2020",145.808,
"DEU","GGDEBT","TOT","PC_GDP","A","2016",76.96603,
"DEU","GGDEBT","TOT","PC_GDP","A","2017",72.35247,
"DEU","GGDEBT","TOT","PC_GDP","A","2018",69.07214,
"DEU","GGDEBT","TOT","PC_GDP","A","2019",67.50011,
"DEU","GGDEBT","TOT","PC_GDP","A","2020",78.66212,
"GRC","GGDEBT","TOT","PC_GDP","A","2016",188.9455,
"GRC","GGDEBT","TOT","PC_GDP","A","2017",192.998,
"GRC","GGDEBT","TOT","PC_GDP","A","2018",199.3591,
"GRC","GGDEBT","TOT","PC_GDP","A","2019",200.8777,
"GRC","GGDEBT","TOT","PC_GDP","A","2020",237.6102,
"HUN","GGDEBT","TOT","PC_GDP","A","2016",98.65585,
"HUN","GGDEBT","TOT","PC_GDP","A","2017",93.2094,
"HUN","GGDEBT","TOT","PC_GDP","A","2018",86.86361,
"HUN","GGDEBT","TOT","PC_GDP","A","2019",84.07797,
"HUN","GGDEBT","TOT","PC_GDP","A","2020",98.0555,
"IRL","GGDEBT","TOT","PC_GDP","A","2016",85.23203,
"IRL","GGDEBT","TOT","PC_GDP","A","2017",76.69709,
"IRL","GGDEBT","TOT","PC_GDP","A","2018",74.61259,
"IRL","GGDEBT","TOT","PC_GDP","A","2019",68.83617,
"IRL","GGDEBT","TOT","PC_GDP","A","2020",71.58207,
"ITA","GGDEBT","TOT","PC_GDP","A","2016",154.551,
"ITA","GGDEBT","TOT","PC_GDP","A","2017",151.9976,
"ITA","GGDEBT","TOT","PC_GDP","A","2018",146.7966,
"ITA","GGDEBT","TOT","PC_GDP","A","2019",154.1879,
"ITA","GGDEBT","TOT","PC_GDP","A","2020",183.9023,
"JPN","GGDEBT","TOT","PC_GDP","A","2016",231.3763,
"JPN","GGDEBT","TOT","PC_GDP","A","2017",230.305,
"JPN","GGDEBT","TOT","PC_GDP","A","2018",234.3394,
"JPN","GGDEBT","TOT","PC_GDP","A","2019",233.3859,
"JPN","GGDEBT","TOT","PC_GDP","A","2020",256.9044,
"KOR","GGDEBT","TOT","PC_GDP","A","2016",51.61334,
"KOR","GGDEBT","TOT","PC_GDP","A","2017",49.43649,
"KOR","GGDEBT","TOT","PC_GDP","A","2018",50.41999,
"KOR","GGDEBT","TOT","PC_GDP","A","2019",52.6506,
"KOR","GGDEBT","TOT","PC_GDP","A","2020",58.76943,
"LUX","GGDEBT","TOT","PC_GDP","A","2016",27.20946,
"LUX","GGDEBT","TOT","PC_GDP","A","2017",28.96187,
"LUX","GGDEBT","TOT","PC_GDP","A","2018",28.67122,
"LUX","GGDEBT","TOT","PC_GDP","A","2019",30.29885,
"LUX","GGDEBT","TOT","PC_GDP","A","2020",32.61319,
"MEX","GGDEBT","TOT","PC_GDP","A","2016",52.84832,
"MEX","GGDEBT","TOT","PC_GDP","A","2017",53.22276,
"MEX","GGDEBT","TOT","PC_GDP","A","2018",55.7872,
"MEX","GGDEBT","TOT","PC_GDP","A","2019",59.29549,
"NLD","GGDEBT","TOT","PC_GDP","A","2016",77.69183,
"NLD","GGDEBT","TOT","PC_GDP","A","2017",70.92296,
"NLD","GGDEBT","TOT","PC_GDP","A","2018",66.0714,
"NLD","GGDEBT","TOT","PC_GDP","A","2019",62.30612,
"NLD","GGDEBT","TOT","PC_GDP","A","2020",69.76221,
"NOR","GGDEBT","TOT","PC_GDP","A","2016",44.2576,
"NOR","GGDEBT","TOT","PC_GDP","A","2017",44.66471,
"NOR","GGDEBT","TOT","PC_GDP","A","2018",45.34084,
