"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","PC_GDP","A","2016",27.618,
"AUS","TAXREV","TOT","PC_GDP","A","2017",28.498,
"AUS","TAXREV","TOT","PC_GDP","A","2018",28.679,
"AUT","TAXREV","TOT","PC_GDP","A","2016",41.789,
"AUT","TAXREV","TOT","PC_GDP","A","2017",41.757,
"AUT","TAXREV","TOT","PC_GDP","A","2018",42.212,
"AUT","TAXREV","TOT","PC_GDP","A","2019",42.444,
"BEL","TAXREV","TOT","PC_GDP","A","2016",43.322,
"BEL","TAXREV","TOT","PC_GDP","A","2017",43.795,
"BEL","TAXREV","TOT","PC_GDP","A","2018",43.948,
"BEL","TAXREV","TOT","PC_GDP","A","2019",42.916,
"CAN","TAXREV","TOT","PC_GDP","A","2016",33.258,
"CAN","TAXREV","TOT","PC_GDP","A","2017",33.114,
"CAN","TAXREV","TOT","PC_GDP","A","2018",33.219,
"CAN","TAXREV","TOT","PC_GDP","A","2019",33.455,
"CZE","TAXREV","TOT","PC_GDP","A","2016",34.031,
"CZE","TAXREV","TOT","PC_GDP","A","2017",34.438,
"CZE","TAXREV","TOT","PC_GDP","A","2018",34.988,
"CZE","TAXREV","TOT","PC_GDP","A","2019",34.927,
"DNK","TAXREV","TOT","PC_GDP","A","2016",45.494,
"DNK","TAXREV","TOT","PC_GDP","A","2017",45.849,
"DNK","TAXREV","TOT","PC_GDP","A","2018",44.354,
"DNK","TAXREV","TOT","PC_GDP","A","2019",46.337,
"FIN","TAXREV","TOT","PC_GDP","A","2016",43.727,
"FIN","TAXREV","TOT","PC_GDP","A","2017",42.926,
"FIN","TAXREV","TOT","PC_GDP","A","2018",42.379,
"FIN","TAXREV","TOT","PC_GDP","A","2019",42.189,
"FRA","TAXREV","TOT","PC_GDP","A","2016",45.374,
"FRA","TAXREV","TOT","PC_GDP","A","2017",46.068,
"FRA","TAXREV","TOT","PC_GDP","A","2018",45.926,
"FRA","TAXREV","TOT","PC_GDP","A","2019",45.401,
"DEU","TAXREV","TOT","PC_GDP","A","2016",37.722,
"DEU","TAXREV","TOT","PC_GDP","A","2017",37.793,
"DEU","TAXREV","TOT","PC_GDP","A","2018",38.544,
"DEU","TAXREV","TOT","PC_GDP","A","2019",38.812,
"GRC","TAXREV","TOT","PC_GDP","A","2016",38.361,
"GRC","TAXREV","TOT","PC_GDP","A","2017",38.622,
"GRC","TAXREV","TOT","PC_GDP","A","2018",38.919,
"GRC","TAXREV","TOT","PC_GDP","A","2019",38.707,
"HUN","TAXREV","TOT","PC_GDP","A","2016",39.414,
"HUN","TAXREV","TOT","PC_GDP","A","2017",38.283,
"HUN","TAXREV","TOT","PC_GDP","A","2018",37.45,
"HUN","TAXREV","TOT","PC_GDP","A","2019",35.771,
"ISL","TAXREV","TOT","PC_GDP","A","2016",50.809,
"ISL","TAXREV","TOT","PC_GDP","A","2017",37.564,
"ISL","TAXREV","TOT","PC_GDP","A","2018",37.225,
"ISL","TAXREV","TOT","PC_GDP","A","2019",36.075,
"IRL","TAXREV","TOT","PC_GDP","A","2016",23.61,
"IRL","TAXREV","TOT","PC_GDP","A","2017",22.761,
"IRL","TAXREV","TOT","PC_GDP","A","2018",22.673,
"IRL","TAXREV","TOT","PC_GDP","A","2019",22.656,
"ITA","TAXREV","TOT","PC_GDP","A","2016",42.242,
"ITA","TAXREV","TOT","PC_GDP","A","2017",41.912,
"ITA","TAXREV","TOT","PC_GDP","A","2018",41.871,
"ITA","TAXREV","TOT","PC_GDP","A","2019",42.446,
"JPN","TAXREV","TOT","PC_GDP","A","2016",30.729,
"JPN","TAXREV","TOT","PC_GDP","A","2017",31.377,
"JPN","TAXREV","TOT","PC_GDP","A","2018",32.03,
"KOR","TAXREV","TOT","PC_GDP","A","2016",24.745,
"KOR","TAXREV","TOT","PC_GDP","A","2017",25.357,
"KOR","TAXREV","TOT","PC_GDP","A","2018",26.752,
"KOR","TAXREV","TOT","PC_GDP","A","2019",27.377,
"LUX","TAXREV","TOT","PC_GDP","A","2016",36.827,
"LUX","TAXREV","TOT","PC_GDP","A","2017",37.611,
"LUX","TAXREV","TOT","PC_GDP","A","2018",39.743,
"LUX","TAXREV","TOT","PC_GDP","A","2019",39.222,
"MEX","TAXREV","TOT","PC_GDP","A","2016",16.618,
"MEX","TAXREV","TOT","PC_GDP","A","2017",16.096,
"MEX","TAXREV","TOT","PC_GDP","A","2018",16.167,
"MEX","TAXREV","TOT","PC_GDP","A","2019",16.471,
"NLD","TAXREV","TOT","PC_GDP","A","2016",38.405,
"NLD","TAXREV","TOT","PC_GDP","A","2017",38.701,
"NLD","TAXREV","TOT","PC_GDP","A","2018",38.799,
"NLD","TAXREV","TOT","PC_GDP","A","2019",39.333,
"NZL","TAXREV","TOT","PC_GDP","A","2016",31.517,
"NZL","TAXREV","TOT","PC_GDP","A","2017",31.605,
"NZL","TAXREV","TOT","PC_GDP","A","2018",32.885,
"NZL","TAXREV","TOT","PC_GDP","A","2019",32.312,
"NOR","TAXREV","TOT","PC_GDP","A","2016",38.878,
"NOR","TAXREV","TOT","PC_GDP","A","2017",38.78,
"NOR","TAXREV","TOT","PC_GDP","A","2018",39.571,
"NOR","TAXREV","TOT","PC_GDP","A","2019",39.928,
"POL","TAXREV","TOT","PC_GDP","A","2016",33.409,
"POL","TAXREV","TOT","PC_GDP","A","2017",34.124,
"POL","TAXREV","TOT","PC_GDP","A","2018",35.159,
"POL","TAXREV","TOT","PC_GDP","A","2019",35.385,
"PRT","TAXREV","TOT","PC_GDP","A","2016",34.061,
"PRT","TAXREV","TOT","PC_GDP","A","2017",34.121,
"PRT","TAXREV","TOT","PC_GDP","A","2018",34.82,
"PRT","TAXREV","TOT","PC_GDP","A","2019",34.845,
"SVK","TAXREV","TOT","PC_GDP","A","2016",33.271,
"SVK","TAXREV","TOT","PC_GDP","A","2017",34.224,
"SVK","TAXREV","TOT","PC_GDP","A","2018",34.322,
"SVK","TAXREV","TOT","PC_GDP","A","2019",34.736,
"ESP","TAXREV","TOT","PC_GDP","A","2016",33.597,
"ESP","TAXREV","TOT","PC_GDP","A","2017",33.87,
"ESP","TAXREV","TOT","PC_GDP","A","2018",34.602,
"ESP","TAXREV","TOT","PC_GDP","A","2019",34.649,
"SWE","TAXREV","TOT","PC_GDP","A","2016",44.309,
"SWE","TAXREV","TOT","PC_GDP","A","2017",44.307,
"SWE","TAXREV","TOT","PC_GDP","A","2018",43.921,
"SWE","TAXREV","TOT","PC_GDP","A","2019",42.909,
"CHE","TAXREV","TOT","PC_GDP","A","2016",27.661,
"CHE","TAXREV","TOT","PC_GDP","A","2017",28.415,
"CHE","TAXREV","TOT","PC_GDP","A","2018",28.046,
"CHE","TAXREV","TOT","PC_GDP","A","2019",28.529,
"TUR","TAXREV","TOT","PC_GDP","A","2016",25.128,
"TUR","TAXREV","TOT","PC_GDP","A","2017",24.68,
"TUR","TAXREV","TOT","PC_GDP","A","2018",23.986,
"TUR","TAXREV","TOT","PC_GDP","A","2019",23.079,
"GBR","TAXREV","TOT","PC_GDP","A","2016",32.636,
"GBR","TAXREV","TOT","PC_GDP","A","2017",32.825,
"GBR","TAXREV","TOT","PC_GDP","A","2018",32.887,
"GBR","TAXREV","TOT","PC_GDP","A","2019",32.983,
"USA","TAXREV","TOT","PC_GDP","A","2016",25.809,
"USA","TAXREV","TOT","PC_GDP","A","2017",26.74,
"USA","TAXREV","TOT","PC_GDP","A","2018",24.412,
"USA","TAXREV","TOT","PC_GDP","A","2019",24.466,
"CHL","TAXREV","TOT","PC_GDP","A","2016",20.131,
"CHL","TAXREV","TOT","PC_GDP","A","2017",20.16,
"CHL","TAXREV","TOT","PC_GDP","A","2018",21.078,
"CHL","TAXREV","TOT","PC_GDP","A","2019",20.657,
"EST","TAXREV","TOT","PC_GDP","A","2016",33.237,
"EST","TAXREV","TOT","PC_GDP","A","2017",32.515,
"EST","TAXREV","TOT","PC_GDP","A","2018",32.894,
"EST","TAXREV","TOT","PC_GDP","A","2019",33.073,
"ISR","TAXREV","TOT","PC_GDP","A","2016",31.183,
"ISR","TAXREV","TOT","PC_GDP","A","2017",32.544,
"ISR","TAXREV","TOT","PC_GDP","A","2018",30.946,
"ISR","TAXREV","TOT","PC_GDP","A","2019",30.474,
"SVN","TAXREV","TOT","PC_GDP","A","2016",37.443,
"SVN","TAXREV","TOT","PC_GDP","A","2017",37.134,
"SVN","TAXREV","TOT","PC_GDP","A","2018",37.412,
"SVN","TAXREV","TOT","PC_GDP","A","2019",37.651,
"OAVG","TAXREV","TOT","PC_GDP","A","2016",33.953,
"OAVG","TAXREV","TOT","PC_GDP","A","2017",33.741,
"OAVG","TAXREV","TOT","PC_GDP","A","2018",33.879,
"OAVG","TAXREV","TOT","PC_GDP","A","2019",33.84,
"LVA","TAXREV","TOT","PC_GDP","A","2016",31.159,
"LVA","TAXREV","TOT","PC_GDP","A","2017",31.392,
"LVA","TAXREV","TOT","PC_GDP","A","2018",31.237,
"LVA","TAXREV","TOT","PC_GDP","A","2019",31.201,
"LTU","TAXREV","TOT","PC_GDP","A","2016",29.653,
"LTU","TAXREV","TOT","PC_GDP","A","2017",29.469,
"LTU","TAXREV","TOT","PC_GDP","A","2018",30.167,
"LTU","TAXREV","TOT","PC_GDP","A","2019",30.337,
"COL","TAXREV","TOT","PC_GDP","A","2016",19.079,
"COL","TAXREV","TOT","PC_GDP","A","2017",18.983,
"COL","TAXREV","TOT","PC_GDP","A","2018",19.302,
"COL","TAXREV","TOT","PC_GDP","A","2019",19.677,
